rid;type;url;jhi_user;password
4a01e574-2280-4d1a-8652-26d4ab1855a9;noisy;https://white-killing.info;zowie hybridization;illustrate gadzooks ew
7260e17b-81d4-41f7-af46-395576ea9705;zowie brr unnaturally;https://frequent-jeans.name/;duplicate;honestly exotic disguise
fe3de911-ec90-4e82-a5c8-9d37266a76c0;brr ferry as;https://infatuated-bid.org;impartial acknowledge representative;monstrous jubilantly
ffa424e7-3d85-443c-8723-c639a2796e30;upward following finalize;https://free-plaster.com;turbulent;when of although
b0bfc6f4-e8a9-4197-ae21-84e6acbcb4e5;fork;https://well-informed-populist.info/;for;impractical
58f5d4c7-b2eb-4ecc-b732-1fcb946cf76e;repel;https://quintessential-quadrant.name;opposite;besides who
ad75ce13-b4a5-48ae-9d9d-a8e7455500c3;consequently terrific atop;https://plain-situation.biz;kosher;advocate rhapsodize
4f379e3d-3735-4288-b070-1268a5bed327;psst entire;https://that-set.biz;furthermore;sweetly
30299642-72f3-4aa2-be76-5e1772744cb4;discharge righteously;https://glum-function.info/;less;or youthfully
85adda38-9543-4c2a-acaf-f60fc3ab32b0;but happily smart;https://unrealistic-norm.info/;rich than;worth though towards
